date,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,new_cases
2020-02-17,0.667,1.667,0.0,2.0,3.0,3.0,0.0
2020-02-18,0.5,1.75,0.0,2.0,3.25,3.0,0.0
2020-02-19,0.4,1.8,0.2,1.8,2.8,3.2,0.0
2020-02-20,0.5,2.0,0.0,2.333,3.167,3.333,0.0
2020-02-21,-0.143,1.714,0.714,1.429,3.571,0.143,0.0
2020-02-22,-0.571,1.143,0.857,0.714,3.714,-0.857,0.0
2020-02-23,-1.143,0.714,1.0,0.429,3.429,-0.571,0.0
2020-02-24,-1.143,0.571,1.0,0.429,3.286,-0.571,0.0
2020-02-25,-1.286,0.0,1.0,0.286,3.143,-0.857,0.0
2020-02-26,-1.286,-0.286,0.714,0.571,3.143,-1.0,0.0
2020-02-27,-1.571,-0.857,0.857,0.0,2.857,-1.0,0.0
2020-02-28,-1.0,-0.714,0.143,0.714,2.429,2.429,0.0
2020-02-29,-1.0,-0.571,0.0,1.0,1.714,3.857,0.0
2020-03-01,-0.571,0.143,0.0,1.0,1.714,4.0,0.0
2020-03-02,-0.429,0.429,0.0,0.857,1.857,4.143,2.0
2020-03-03,-0.429,1.0,0.0,0.714,1.857,4.571,0.0
2020-03-04,-0.429,1.714,0.143,0.714,1.857,5.143,23.0
2020-03-05,-0.429,2.286,0.143,0.857,1.857,5.286,2.0
2020-03-06,-0.571,2.429,0.286,1.143,1.429,5.286,1.0
2020-03-07,-0.286,3.429,0.286,1.857,1.857,5.143,3.0
2020-03-08,-0.143,4.143,0.143,2.286,2.0,5.571,5.0
2020-03-09,-0.286,4.714,0.571,1.429,2.143,3.143,4.0
2020-03-10,-2.857,1.143,2.143,-1.714,1.143,-3.714,13.0
2020-03-11,-3.571,0.286,2.286,-2.286,0.714,-5.429,6.0
2020-03-12,-3.857,0.0,2.286,-2.571,0.571,-6.143,11.0
2020-03-13,-4.429,-0.143,2.286,-3.286,0.571,-6.857,9.0
2020-03-14,-6.0,-1.429,2.857,-5.143,-0.571,-8.714,20.0
2020-03-15,-7.857,-2.857,3.286,-6.571,-1.714,-9.286,11.0
2020-03-16,-8.857,-3.429,3.286,-6.571,-2.429,-8.143,6.0
2020-03-17,-7.714,-0.143,2.143,-4.714,-2.143,-3.0,23.0
2020-03-18,-8.714,0.143,2.571,-6.0,-2.714,-3.429,14.0
2020-03-19,-10.571,0.143,3.286,-8.0,-4.0,-5.0,38.0
2020-03-20,-13.0,0.143,4.143,-10.286,-5.857,-7.143,50.0
2020-03-21,-16.286,0.0,4.714,-12.714,-8.286,-8.857,86.0
2020-03-22,-25.857,-10.714,7.286,-21.714,-15.714,-16.143,66.0
2020-03-23,-32.429,-14.857,9.714,-28.286,-20.571,-22.714,103.0
2020-03-24,-40.571,-21.714,12.857,-36.143,-26.571,-30.857,37.0
2020-03-25,-49.857,-31.0,16.571,-45.143,-33.286,-40.0,121.0
2020-03-26,-58.429,-40.286,20.143,-53.571,-39.571,-48.429,70.0
2020-03-27,-66.286,-49.571,23.571,-61.429,-45.143,-56.286,160.0
2020-03-28,-72.571,-58.286,26.571,-68.286,-49.571,-63.143,100.0
2020-03-29,-72.429,-56.714,26.714,-68.429,-49.429,-62.857,37.0
2020-03-30,-75.571,-61.857,28.143,-71.571,-51.714,-65.429,227.0
2020-03-31,-76.571,-64.0,28.714,-72.857,-52.571,-65.857,146.0
2020-04-01,-76.429,-64.0,28.571,-72.857,-52.429,-65.286,601.0
2020-04-02,-76.429,-64.143,28.571,-73.0,-52.429,-65.143,545.0
2020-04-03,-76.286,-63.857,28.429,-73.0,-52.286,-64.714,24.0
2020-04-04,-76.143,-63.714,28.286,-73.0,-52.143,-64.0,515.0
2020-04-05,-76.143,-63.714,28.143,-73.0,-52.0,-63.429,506.0
2020-04-06,-76.143,-63.714,28.143,-72.857,-51.857,-63.429,1190.0
2020-04-07,-76.571,-62.286,28.0,-72.0,-51.286,-63.286,533.0
2020-04-08,-76.857,-60.571,28.0,-71.286,-50.714,-63.143,605.0
2020-04-09,-77.143,-59.0,28.0,-70.429,-50.286,-63.0,809.0
2020-04-10,-77.571,-57.714,28.286,-69.857,-49.857,-63.286,873.0
2020-04-11,-78.0,-56.429,28.571,-69.286,-49.714,-63.714,848.0
2020-04-12,-78.286,-55.143,28.714,-68.714,-49.429,-63.857,759.0
2020-04-13,-78.571,-53.714,28.857,-68.143,-49.143,-63.571,1248.0
2020-04-14,-78.571,-54.0,29.143,-68.429,-49.286,-63.857,1034.0
2020-04-15,-78.571,-53.857,29.143,-68.143,-49.286,-63.429,835.0
2020-04-16,-79.571,-52.429,29.143,-67.714,-51.0,-63.0,1108.0
