,max_depth,min_samples,r_squared_train,r_squared_val
20,9,3,0.9988771601847459,0.9969609373394662
35,12,3,0.9994553249820189,0.9967421190711788
15,8,3,0.9980977587998554,0.9967310671777215
70,19,3,0.9995039804737605,0.9967051194904594
65,18,3,0.9995039804737605,0.9967051194904594
55,16,3,0.9995039038424538,0.9967051194904594
60,17,3,0.9995039804737605,0.9967051194904594
50,15,3,0.9995029785029064,0.9966940936297347
40,13,3,0.9994884613906417,0.9966929671266967
45,14,3,0.9994997224405396,0.9966889712173905
25,10,3,0.9992758925641378,0.996613328561979
30,11,3,0.9993823145459418,0.996582805307338
10,7,3,0.9957798004583397,0.9950294089429917
5,6,3,0.9885081073153916,0.9929387685514659
21,9,7,0.9951736531107774,0.9928923617627485
16,8,7,0.994814092298807,0.9927604226321964
11,7,7,0.9931396845985869,0.9927109114801738
51,15,7,0.9955769178710585,0.9927005017598455
66,18,7,0.9955769178710585,0.9927005017598455
41,13,7,0.9955769178710585,0.9927005017598455
61,17,7,0.9955769178710585,0.9927005017598455
71,19,7,0.9955769178710585,0.9927005017598455
56,16,7,0.9955769178710585,0.9927005017598455
46,14,7,0.9955769178710585,0.9927005017598455
36,12,7,0.9955745854416505,0.9926948814585439
26,10,7,0.9954593278981784,0.9925950989349764
31,11,7,0.9955231091190654,0.9925598162689788
6,6,7,0.987581126850511,0.9923766594354325
13,7,15,0.9572501626145538,0.9898152801658083
18,8,15,0.9578729490528383,0.9897448315179865
38,12,15,0.9581283893843856,0.9895387581655832
63,17,15,0.9581283893843856,0.9895387581655832
43,13,15,0.9581283893843856,0.9895387581655832
53,15,15,0.9581283893843856,0.9895387581655832
68,18,15,0.9581283893843856,0.9895387581655832
33,11,15,0.9581283893843856,0.9895387581655832
28,10,15,0.9581154432927612,0.9895387581655832
48,14,15,0.9581283893843856,0.9895387581655832
23,9,15,0.9580603854875838,0.9895387581655832
73,19,15,0.9581283893843856,0.9895387581655832
58,16,15,0.9581283893843856,0.9895387581655832
8,6,15,0.955723157499229,0.9887195614522416
12,7,11,0.9672077666702708,0.9872209539166953
7,6,11,0.9616537204090629,0.9871932863443451
17,8,11,0.9679619722844602,0.9869951339220367
22,9,11,0.9682740268496788,0.9868656701891207
14,7,19,0.9532368543399307,0.9867737971300993
19,8,19,0.9535495157783771,0.9866610151043579
0,5,3,0.9724937443758273,0.9865497259068784
27,10,11,0.9685288328488318,0.9864623743330774
57,16,11,0.9685766648852532,0.9864615144310014
62,17,11,0.9685766648852532,0.9864615144310014
67,18,11,0.9685766648852532,0.9864615144310014
72,19,11,0.9685766648852532,0.9864615144310014
37,12,11,0.9685766648852532,0.9864615144310014
47,14,11,0.9685766648852532,0.9864615144310014
42,13,11,0.9685766648852532,0.9864615144310014
32,11,11,0.9685452619643187,0.9864615144310014
52,15,11,0.9685766648852532,0.9864615144310014
54,15,19,0.9537175908814395,0.9864237868820162
64,17,19,0.9537175908814395,0.9864237868820162
69,18,19,0.9537175908814395,0.9864237868820162
24,9,19,0.9537175908814395,0.9864237868820162
29,10,19,0.9537175908814395,0.9864237868820162
34,11,19,0.9537175908814395,0.9864237868820162
39,12,19,0.9537175908814395,0.9864237868820162
44,13,19,0.9537175908814395,0.9864237868820162
59,16,19,0.9537175908814395,0.9864237868820162
49,14,19,0.9537175908814395,0.9864237868820162
74,19,19,0.9537175908814395,0.9864237868820162
1,5,7,0.9720097902719559,0.9862189658675243
9,6,19,0.9517098492246062,0.9857315578097814
3,5,15,0.9447270523513499,0.9831383347961
2,5,11,0.9506497950423304,0.9815419889856164
4,5,19,0.9408897338082146,0.9801695811858315
